Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
-53.16,-110.5614895069312,punta arenas,cl,42.8,70,36,5.82
34.16,78.21893032466028,leh,in,10.31,87,80,1.63
33.3,44.34583757424599,baghdad,iq,57.2,58,0,2.24
-54.81,-37.357865821550774,ushuaia,ar,42.8,75,40,12.75
-2.19,-57.36360705139022,nhamunda,br,80.69,76,44,4.21
-46.6,160.93834229465818,bluff,nz,60.17,97,92,24.34
-20.34,82.91742059522647,bambous virieux,mu,80.6,74,90,19.46
-33.92,29.633053099843693,port elizabeth,za,64.4,82,0,4.7
14.670324983096222,96.77814761391181,ye,mm,,,,
22.08,-163.091958794988,kapaa,us,73.4,94,90,13.87
8.2,-58.970718533393665,mabaruma,gy,76.91,88,32,7.45
37.46,-137.97143437284845,half moon bay,us,53.6,81,90,11.41
65.61,-42.51132994054325,tasiilaq,gl,15.8,43,12,2.24
-0.74,-89.81586994242248,puerto ayora,ec,76.91,100,80,2.53
-23.12,-136.43229304337854,rikitea,pf,82.13,99,0,8.23
-33.02,40.78816757646581,east london,za,66.2,77,0,4.7
35.73,155.01170976326267,hasaki,jp,69.8,40,0,17.22
-45.58,-75.83344192577772,coihaique,cl,46.4,65,90,5.82
-33.01,8.691932355372728,saldanha,za,60.8,82,64,5.82
55.1,-107.98734956809936,la ronge,ca,24.8,53,20,9.17
63.59,-136.5589031234964,mayo,ca,44.6,45,75,3.36
43.1,-82.05123622434844,forest,ca,32,54,75,16.28
5.88,-13.909321080733548,buchanan,lr,77.81,100,92,5.21
-33.59,30.035234499660106,port alfred,za,66.83,91,0,8.01
-15.94,2.7354003930406066,jamestown,sh,74.75,100,56,17.74
-26.65,3.7677874132990894,luderitz,na,60.8,87,0,13.87
-34.42,-7.513475755851573,hermanus,za,60.44,99,92,4.21
-24.87,99.1309767847884,carnarvon,au,83.48,82,0,20.87
40.31,-87.93303420908629,rantoul,us,39.2,60,1,11.41
-80.82666748990363,-150.38784442988626,mataura,pf,,,,
-38.7106089807298,54.49940904621411,taolanaro,mg,,,,
64.25,-12.869353759144389,hofn,is,39.11,100,92,24.56
69.22,-44.71766032828867,ilulissat,gl,3.2,84,80,4.43
69.49,92.14219672596727,talnakh,ru,6.26,79,68,21.21
-9.8,-130.02022341161413,atuona,pf,79.88,100,80,15.17
-37.62,-99.55593334365281,lebu,cl,57.29,100,0,2.53
13.6,28.187024837866318,umm kaddadah,sd,53.69,34,0,4.09
-46.43,-55.11161505705837,mar del plata,ar,50.99,61,36,10.58
31.37,-105.8528289919692,praxedis guerrero,mx,69.8,48,75,13.87
-34.735757324064835,-38.37796512786525,laguna,br,,,,
53.24,43.41607167781106,pervomayskiy,ru,29.03,91,92,12.48
71.98,98.8741800574308,khatanga,ru,-30.11,50,0,8.12
-8.85,31.56579186758077,mbala,zm,60.71,99,92,3.76
-0.6,68.84682184502225,hithadhoo,mv,82.94,100,88,7.67
38.52,-30.33783623193804,ribeira grande,pt,59,100,88,16.06
78.22,14.70118640163534,longyearbyen,sj,3.2,84,0,3.36
-35.02,106.66786329067804,albany,au,75.47,72,76,6.55
-23.825514579724,-155.19117211458425,avera,pf,,,,
-35.62,179.3832062839502,ngunguru,nz,69.17,97,68,6.22
-42.78,125.4432220853256,new norfolk,au,62.6,51,75,10.29
-39.85533765972183,36.0908391809983,umzimvubu,za,,,,
5.35,50.69097426987952,hobyo,so,77.54,93,56,12.03
34.03,-4.683484953304031,fez,ma,55.4,93,75,8.05
54.9,49.827573639890886,bazarnyye mataki,ru,7.61,76,20,16.06
14.9,-27.91843007397543,sao filipe,cv,70.43,98,0,17.52
60.15,1.39052449282687,lerwick,gb,41,80,92,26.4
-20.41,76.54563776475737,mahebourg,mu,80.6,74,90,18.34
22.89,-112.83921359793504,cabo san lucas,mx,75.2,41,40,3.36
69.44,-135.31100897891142,tuktoyaktuk,ca,15.8,92,90,25.28
38.52,101.39117517030672,jinchang,cn,32.45,83,48,7.56
8.48,78.34339214090886,tiruchchendur,in,80.15,93,56,6.67
66.69,33.832549518452254,umba,ru,12.2,74,44,11.03
67.22816532800738,142.42035459698877,khonuu,ru,,,,
-7.93,-21.37933061085954,georgetown,sh,78.44,100,44,9.8
-17.73,-23.74837296754768,caravelas,br,81.5,100,48,11.81
70.62,146.05962014556167,chokurdakh,ru,-18.05,53,48,15.73
60.75,-143.38288519216354,haines junction,ca,32.81,99,88,2.08
77.48,-69.54032762343832,qaanaaq,gl,-10.4,100,36,0.96
29.14,19.140427344062743,awjilah,ly,65.93,55,76,9.69
28.511405694541708,72.0618397344835,yazman,pk,,,,
74.94403521177924,2.5682926647397153,barentsburg,sj,,,,
39.41,67.49669019320973,urgut,uz,37.4,74,40,2.24
70.17581823296555,63.711077202557675,amderma,ru,,,,
63.5032563142085,39.090754187201185,mudyuga,ru,,,,
-21.36,56.517436372587895,saint-philippe,re,80.6,65,0,14.99
-29.95,-82.72911013788982,coquimbo,cl,57.2,82,0,5.82
11.28,48.601794843805465,bosaso,so,72.86,100,12,4.54
-33.69,-26.693106726706134,chuy,uy,71.15,81,56,18.86
-8.49,140.06361339616228,merauke,id,78.17,100,92,4.43
13.5,106.17284213401018,lumphat,kh,71.69,100,92,2.64
70.86,29.541906412297493,berlevag,no,23.81,100,76,10.13
49.0,-63.547753833320684,riviere-au-renard,ca,30.2,92,90,12.75
-5.12,120.33902457879213,sinjai,id,82.67,83,64,1.63
33.33,-82.8452325985665,eatonton,us,41,56,1,6.93
17.2,-31.784752990901808,ponta do sol,cv,70.07,100,8,17.29
18.48,27.076297705015406,marawi,sd,54.77,43,0,2.98
40.08,-72.76921295248219,point pleasant,us,33.8,55,90,16.11
-15.77,126.23616140947735,kununurra,au,95,32,0,4.7
49.28,120.63938651700806,yakeshi,cn,13.46,76,0,8.57
64.0,44.427852926804064,karpogory,ru,15.71,73,92,12.71
27.40414173724426,-48.63448774706683,codrington,ag,,,,
-29.898448487217152,46.39064633298122,tsihombe,mg,,,,
